grading                                                                                                                                                                                                                                                                                             operator,string_or_regex_pattern,cleaned_sentence,query
109        1                                                                                                                                                                                                                                                                                                  a $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"According to recent studies done by UC Berkeley and Harvard, the minimum wage does the following: 1. Disproportionately Pushes small business out of the market, 2. Reduces employment growth by 1.3%, 3. Compresses the distribution of income making it harder for those without a job to find one. Survival of the Fittest: The Impact of the Minimum Wage on Firm ExitEffects of a $15 Minimum Wage in California and Fresno",is the minimum wage good for the economy overall
110        1                                                                                                                                                                                                                                                                                                  y (,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"The price of a resource is set partly by consumers' ability and willingness to pay (and partly by scarcity\). If you gave everyone on earth $1 trillion each tomorrow, the price of a loaf bread would rise to $millions, neutralising the effect. In states that offer unconditional housing benefit, landlords are able to demand at least the state benefit rate, causing average rent to climb. The net effect is a transfer of wealth from the state to landlords.",should there be a universal basic income ubi
111        1                                                                                                                                                                                                                                                                                                  y $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"When I transitioned from a V8 powered Audi to a Tesla, my monthly electric bill went up $75, but my monthly gasoline expense dropped by $225.",electric vehicles are better than fossil fuel vehicles
112        1                                                                                                                                                                                                                                                                                                  d $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],Workers earned $36 billion in wages and benefits.,should bottled water be banned
113        1                                                                                                                                                                                                                                                                                                  f $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"Sanders is insincere on this promise because his own campaign workers union, UF&C Workers Local 400 has Field Organizers working 60 hours a week, making an annual salary of $36,000 ($13 hourly\) — well below the $15-an-hour federal minimum wage Sanders has called for.",us 2020 presidential election who should the democratic nominee be
114        1                                                                                                                                                                                                                                                                                                  s $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"The monthly dose of Lupron costs $800, as well as initial assessment costs of $1500-2500.",how should society deal with convicted pedophiles
115        1                                                                                                                                                                                                                                                                                                 9 of,\d+ of,"In 9 of the last 10 presidential elections, the margin of victory in the popular vote was less than 10 percentage points, Reagan's 2nd election being the exception.",should the electoral college be abolished
116        1                                                                                                                                                                                                                                                                                                 8 of,\d+ of,Article 8 of the 1998 Human Rights Act and of the European Convention on Human Rights protects the right to respect for one's private and family life.,should equal paternitymaternity paid leave be mandatory
117        1                                                                                                                                                                                                                                                                                                 3 of,\d+ of,"Assuming the third party gained popularity to rival the R/D parties, someone could theoretically win a Presidential election with about 1/3 of the popular vote.",the united states needs a strong third political party for moderates
118        1                                                                                                                                                                                                                                                                                               267 of,\d+ of,"In Denmark, the monarch is protected by the usual libel paragraph (Article 267 of the penal code which allows for up to four months of imprisonment\), but Article 115 allows for doubling of the usual punishment when a royal is target of the libel.",should european monarchies be abolished
119        1                                                                                                                                                                                                                                                                                                 8 of,\d+ of,"This is precisely correct. Just because we see that gun deaths are an issue at large does not mean that gun deaths are the only problem. Out of the top 10 leading causes of death in the US, the only gun related item was suicide at number 10, and not all suicides are performed with guns. 8 of the 9 items above suicide on the list are heath-related like heart disease and cancer, while the number 4 item on the list is accidents (the article refers to cars specifically\).",should the us adopt stricter gun controls
120        1                                                                                                                                                                                                                                                                                               100 of,\d+ of,"In New York and northern New Jersey, ""fewer than 100 of the 67,000 mortgages insured by the G.I. Bill supported home purchases by nonwhites.""",should the us pay reparations for slavery
121        1                                                                                                                                                                                                                                                                                                 9 of,\d+ of,"According to statistics, of the 12 jurisdictions that received grants from the Race to the Top initiative, 9 of them have met their benchmarks for the year, as of 2019.",was barack obama a good president
122        1                                                                                                                                                                                                                                                                                                24 of,\d+ of,"According to a Pew Research Center poll, most Muslims say that having an abortion is morally wrong, including three-quarters or more in 24 of the 37 countries where the question was asked.",is islam compatible with feminism
123        1                                                                                                                                                                                                                                                                                                 2 of,\d+ of,"All presidents have the possibility of dying in office.Of the 8 presidents who have died in office, only 4 died of natural causes. 2 of those deaths were from environmental factors(pneumonia/eating too many cherries and milk) and 2 were from age related factors(heart-attack/stroke\). While in office, a president is actually probably most likely to die from assassination which can happen at any age.",us 2020 presidential election who should the democratic nominee be
124        1                                                                                                                                                                                                                                                                                               000 of,\d+ of,"According to 2014 estimates from the Migration Policy Institute, nearly 400,000 young immigrants who would otherwise qualify for DACA don’t meet the educational requirements for it since they dropped out of high school and don’t have a GED. Even immigrants who are DACA-eligible often don’t go beyond high school; only 57,000 of them, or about 5 percent, have bachelor’s degrees, with another 20 percent currently enrolled in college (pg.4\).",daca and dreamers should dreamers be granted citizenship
125        1                                                                                                                                                                                                                                                                                                14 of,\d+ of,14 of the world's most polluted 15 cities are in India.,is narendra modi good for india
126        1                                                                                                                                                                                                                                                                                                 1 of,\d+ of,Webster Definition of baby (Entry 1 of 3) (1\): an extremely young child especially : INFANT,does a fetus have the right to life right after conception
127        1                                                                                                                                                                                                                                                                                                 4 of,\d+ of,"Moral relativism is a weak standard of morality, with no true consideration of why things are wrong, it is only an example of stage 4 of Lawrence Kohlberg's stages of moral development. We need a better reason, a real reason why things are right, or wrong, like overall happiness, rights,or good will.",the ethics of eating animals is eating meat wrong
128        1                                                                                                                                                                                                                                                                                                10 of,\d+ of,1 in 10 of all k-12 students is a victim of educator sexual misconduct. www.sesamenet.org and docs.wixstatic.com,should homeschooling be banned
129        1                                                                                                                                                                                                                                                                                               207 of,\d+ of,"When Japan hunted 333 minke whales in 2013, researchers found that 207 of them were pregnant. This showed that the breeding situation was healthy and the whales' existence not in danger.",should whaling still be banned
130        1                                                                                                                                                                                                                                                                                               000 of,\d+ of,"The Bureau of Alcohol, Tobacco, Firearms and Explosives found that over 40,000 of over 84,000 trafficked guns came from Federally licensed firearms dealers.",do gun control laws reduce crime
131        1                                                                                                                                                                                                                                                                                                 4 of,\d+ of,3/4 of evolutionary time (3 billion years\) was the evolution of single celled organisms never mentioned in the Bible.,is darwinian evolution philosophy or science
132        1                                                                                                                                                                                                                                                                                                 1 of,\d+ of,"In the United States, only about 24.000 people from countries where refugees commonly originate from (Syria, Iraq, Afghanistan, Somalia, Sudan\) were naturalized in 2015. This is a mere 3% of that year's naturalizations and makes up 0.1 of the American electorate.",should high income countries take in refugees
133        1                                                                                                                                                                                                                                                                                               163 of,\d+ of,"A trial cull in Western Australia in 2014 killed 172 sharks, but 163 of these were comparatively harmless tiger sharks.",should shark culling be banned
134        1                                                                                                                                                                                                                                                                                                 3 of,\d+ of,"The National Institute for Justice says, within 5 years of release, about 3 of 4 released prisoners were rearrested. Of those, over half were arrested by the end of the 1st year. 2 reasons for this high proportion are parole violations and unemployment. The lack of a job itself can cause a parole violation for some. If vo-tech certificates, and mindfulness thinking were taught, parolees would get more jobs that can support a family and they would not need to commit crimes just to live.",should the primary focus of prisons be rehabilitation or punishment
135        1                                                                                                                                                                                                                                                                                                 9 of,\d+ of,A Japanese single male had 13 surrogate children in Thailand who he intended to make work in his company. He kept 9 of the children in a nursery and rarely visited them.,should commercial surrogacy be legal in liberal democracies
136        1                                                                                                                                                                                                                                                                                                18 of,\d+ of,Only 18 of the 607 billionaires in America signed the letter urging this - a mere 3%.,the us should implement a tax on wealth on the super rich
137        1                                                                                                                                                                                                                                                                                                 3 of,\d+ of,1/3 of women at university in the UK have been sexually assaulted or abused.,is feminism a force for good
138        1                                                                                                                                                                                                                                                                                               254 of,\d+ of,"The US turned back the St Louis, a ship carrying over 900 Jewish refugees in 1939, resulting in the deaths of 254 of the refugees in the Holocaust.",should high income countries take in refugees
139        1                                                                                                                                                                                                                                                                                                 3 of,\d+ of,"California made $345 million in tax revenue in 2018. This is about 1/3 of the projected amount, but still substantial.",all drugs should be legalized
140        1                                                                                                                                                                                                                                                                                                 3 of,\d+ of,"A poll has found that ""54% of students with a minority political view felt that their views are not well represented in the school, and about 1 out of 3 of these students felt scared to share their views in the classroom because they feel that students and teachers would judge them.""",should homeschooling be banned
141        1                                                                                                                                                                                                                                                                                                 4 of,\d+ of,"There are now more atheists and agnostics in the UK than there are Christians, particularly among young people, nearly 3/4 of whom are not religious.",should all religions be banned on a global scale
142        1                                                                                                                                                                                                                                                                                                 3 of,\d+ of,Food production accounts up to 1/3 of global greenhouse gases. (nature.com\),the correct donation gorillas or starving children
143        1                                                                                                                                                                                                                                                                                                 6 of,\d+ of,"As of 2019, 6 of the top 10 schools worldwide, namely MIT, UC Berkeley, Oxford, CalTech, Cambridge and University of Washington, do not take legacy status into consideration.",should legacy be a factor in college admissions
144        1                                                                                                                                                                                                                                                                                                 4 of,\d+ of,"A recent peer reviewed survey of Acidification experts & their opinion reveals mixed results; Only 4 of 23 experts with knowledge in the issue area agree to >0.98 that acidification will result in a loss of biodiviersity. - the study also reveals the disparity in opinion among the 'experts' at present - indicating the science is far from having reached consensusGattuso, J.-P., Mach, K. & Morgan, J., 2013. Ocean acidification and its impacts: an expert survey. Climatic Change, 117(4\), pp.725–738.",humans should act to fight climate change
145        1                                                                                                                                                                                                                                                                                                 3 of,\d+ of,1/3 of women at university in the UK have been sexually assaulted or abuse.,should comprehensive sex education be mandatory
146        1                                                                                                                                                                                                                                                                                                 4 of,\d+ of,Only 4 of Germany's 128 Eurofighter jets are combat ready.,should the eu have its own army
147        1                                                                                                                                                                                                                                                                                                 3 of,\d+ of,"Access to reproductive rights are vital for girls and women to lead healthy lives. Poor sexual and reproductive health accounts for 1/3 of global diseases affecting women between 15 and 44 (Planned Parenthood, p. 6\).",should conscientious objection to abortion be banned
148        1                                                                                                                                                                                                                                                                                                10 of,\d+ of,"All 10 of Europe's hereditary monarchs since 1939 are descendants of a common ancestor, which does not allow for much diversity.",should european monarchies be abolished
149        1                                                                                                                                                                                                                                                                                                 4 of,\d+ of,"May requested another extension from the EU despite the fact that almost 100 MPs from her own party were against it, including 4 of her own cabinet ministers.",should theresa may resign
150        1                                                                                                                                                                                                                                                                                               500 of,\d+ of,"The development costs of modern weapons technologies are enormously high. Even though the US is planning to buy some 2.500 of its F-35 fighters, the development costs stand at 15% of the program's total.",autonomous killing machines the future of warfare
151        1                                                                                                                                                                                                                                                                                               433 of,\d+ of,"The British monarch is patron to more than 600 bodies, 433 of which she has been at the helm of since 1952.",should european monarchies be abolished
152        1                                                                                                                                                                                                                                                                                                10 of,\d+ of,"In the U.S., only 10 of 50 states pay legislators enough to make a living, according to a 2017 report by the National Conference of State Legislatures.",politicians second jobs should they be allowed to keep them
153        1                                                                                                                                                                                                                                                                                               000 of,\d+ of,"The 'dementia tax', which would force elderly people to pay for all by the last £100,000 of their care costs, was immensely unpopular.",has the conservative government lost its legitimacy to govern
154        1                                                                                                                                                                                                                                                                                                10 of,\d+ of,"One example is the penguin paradox. Penguins are one of the most popular animals in zoos and yet in the wild 10 of the world’s 18 species of penguin are still threatened with extinction and populations are declining. Old reports pointed that only one type of penguin was imported to the USA, and only an infinitesimal percentage of them survived even though the zoos´ high efforts to prevent death.",should zoos be banned
155        1                                                                                                                                                                                                                                                                                                28 of,\d+ of,Great White sharks have been responsible for 28 of the 36 fatal shark attacks in Australia.,should shark culling be banned
156        1                                                                                                                                                                                                                                                                                                 6 of,\d+ of,"6 of the top 10 countries listed in the Legatum Prosperity Index 2016 are European monarchies. The ranking is based on a variety of factors including wealth, economic growth, education, health, personal well-being, and quality of life.",should european monarchies be abolished
157        1                                                                                                                                                                                                                                                                                                 6 of,\d+ of,Most women (6 of 10\) seeking abortion already have and are taking care of other children. It is an unfounded stereotype to say these women are selfish.,pro life vs pro choice should abortion be legal
158        1                                                                                                                                                                                                                                                                                                34 of,\d+ of,"Since 2001, 268 right-wing extremists have been prosecuted for crimes that would meet the legal definition of domestic terrorism but anti-terrorism laws were applied against 34 of them.",should the state ever infringe on individual human rights when countering terrorism
159        1                                                                                                                                                                                                                                                                                                 4 of,\d+ of,Only 4 of the 19 individual countries that make up the G20 are members of the EU.,should turkey be part of the european union
160        1                                                                                                                                                                                                                                                                                                10 of,\d+ of,"Only 4 out of 10 of the sponsors published data on their own CO2 emissions (COP21 Sponsors Report, p. 3\).",should corporations take stances on political issues in advertisements
161        1                                                                                                                                                                                                                                                                                                21 of,\d+ of,"(""The first minister admitted that her call for a second referendum immediately after Brexit was a key factor in the Scottish National party’s loss of 21 of 56 Westminster seats,""\)",brexit is the uk going to regret the referendum
162        1                                                                                                                                                                                                                                                                                                 2 of,\d+ of,"In the UK, only about 7.000 people from countries where refugees commonly originate from (Syria, Iraq, Afghanistan, Somalia, Sudan\) were naturalized in 2016. This is a mere 5% of that year's naturalizations and makes up 0.2 of the British electorate.",should high income countries take in refugees
163        1                                                                                                                                                                                                                                                                                                 4 of,\d+ of,Only 4 of the 19 individual countries that make up the G20 are members of the EU.,should turkey be part of the european union
164        1                                                                                                                                                                                                                                                                                               000 of,\d+ of,"In the UK, a total of 510,000 offences were committed in 2009 by criminals within a year of them completing a previous sentence.",are bitcoin and anonymous payments beneficial for the world
165        1                                                                                                                                                                                                                                                                                                 3 of,\d+ of,"Access to reproductive rights are vital for girls and women to lead healthy lives. Poor sexual and reproductive health accounts for 1/3 of global diseases affecting women between 15 and 44 (Planned Parenthood, p. 6\).",should conscientious objection to abortion be banned
166        1                                                                                                                                                                                                                                                                                                60 of,\d+ of,"Of only 300 murders that year in Spain, the only European country with bullfighting, only 60 of those involved minors as perpetrators in 2016. Germany, only one year later, reported a very similar number of 53, despite no possibility of its youth being exposed to bullfighting . el correo statista",should bullfighting be banned
167        1                                                                                                                                                                                                                                                                                                 5 of,\d+ of,"Senators can initiate a procedural filibuster to extend ""debate"" on a piece of legislation. Cloture requires 60 votes, 3/5 of the senate body, but Republicans only have 52 senators.",should democrats cooperate with donald trump
168        1                                                                                                                                                                                                                                                                                                11 of,\d+ of,"When minimum wage doesn't increase, minimum wage earners, get poorer over time. The $7.25/hr current nationally, could have purchased over $11 of the same goods, a few years back. It was better pay then. Wages must outpace inflation to improve one's standard of living, otherwise they get poorer.",supply side economics looks like it is fueling the self destruction of capitalism in america
169        1                                                                                                                                                                                                                                                                                           has one of,\w+ one of,Russia has one of the largest militaries in the world.,should turkey be part of the european union
170        1                                                                                                                                                                                                                                                                                            is one of,\w+ one of,Weapons manufacturing and export is one of the biggest industries in the world and many countries are deeply reliant upon them.,should the sale of genetically modified food be banned
171        1                                                                                                                                                                                                                                                                                        become one of,\w+ one of,"Ecotourism has become one of the fastest-growing sectors of the tourism industry, growing annually by 10–15% worldwide.",should whaling still be banned
172        1                                                                                                                                                                                                                                                                                             billion.,(one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|twenty|thirty|fourty|fifty|sixty|seventy|eighty|ninety|hundred|thousand|million|billion|trillion)\s*[$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"The Crown Estate, in Britain, has a capital value of £11.5 billion and the Royal Collection is valued at £10 billion.",should european monarchies be abolished
173        1                                                                                                                                                                                                                                                                                            trillion.,(one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|twenty|thirty|fourty|fifty|sixty|seventy|eighty|ninety|hundred|thousand|million|billion|trillion)\s*[$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"In the US, the cost of veterans’ medical and disability payments over the next 40 years will be more than $1 trillion.",us and nato should withdraw from afghanistan
174        1                                                                                                                                                                                                                                                                                             billion.,(one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|twenty|thirty|fourty|fifty|sixty|seventy|eighty|ninety|hundred|thousand|million|billion|trillion)\s*[$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"Prior to being elected, Trump was a highly successful businessman with a net worth between $3.9 billion and $10 billion. In order to get to that level of wealth and success he already has shown he is capable of achieving and being successful at a high level, even if he is mentally unwell.",should psychiatrists be allowed to diagnose trump
175        1                                                                                                                                                                                                                                                                                             million.,(one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|twenty|thirty|fourty|fifty|sixty|seventy|eighty|ninety|hundred|thousand|million|billion|trillion)\s*[$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"As of fall 2002, the chief economic adviser of George Bush expected the Iraq War to cost $100 - 200 million. This is much lower than some of today's estimations.",autonomous killing machines the future of warfare
176        1                                                                                                                                                                                                                                                                                             million.,(one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|twenty|thirty|fourty|fifty|sixty|seventy|eighty|ninety|hundred|thousand|million|billion|trillion)\s*[$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],In 2013 the President of France cost taxpayers £91 million.,should european monarchies be abolished
177        1                                                                                                                                                                                                                                                                                             billion.,(one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|twenty|thirty|fourty|fifty|sixty|seventy|eighty|ninety|hundred|thousand|million|billion|trillion)\s*[$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],The cleanup cost of just the reactor site in Fukushima is estimated to be going to take 30 - 40 years and to cost $650billion. Add in other factors and that cost rises to $1 trillion.Fukishima's final costs will total nearly $1trillion,do we need nuclear power for sustainable energy production
178        1                                                                                                                                                                                                                                                                                             billion.,(one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|twenty|thirty|fourty|fifty|sixty|seventy|eighty|ninety|hundred|thousand|million|billion|trillion)\s*[$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"According to a research by a sociologist at the University of Tampa, the estimated annual government subsidy of religion in the U.S. is $71 billion. The actual figure is most likely higher since this estimate excludes the cost of a number of subsidies, like local income and property tax exemptions and the sales tax exemption. The estimate that religious groups own $600 billion in property is also probably low, since it leaves out property besides actual churches, mosques, etc. (pg.6\)",should religions receive public funding
"179        1                                             It is not necessarily straight forward to predict whether 5 saved by 1 life will make a more positive contribution to the world than 1 saved by 5 lives. By way of a flawed analogy, which still highlights the idea: giving $1 to 10,000 people, versus",.*?(vs.|vs|versus).*?,"It is not necessarily straight forward to predict whether 5 saved by 1 life will make a more positive contribution to the world than 1 saved by 5 lives. By way of a flawed analogy, which still highlights the idea: giving $1 to 10,000 people, versus giving $10,000 to 1 person. The latter is probably the better investment.",the trolley problem whats the right solution
"180        1                                                                                                                                                    While ethics influences the methodology of testing, it should not influence the nature of the hypothesis tested. I.e. experimenting on humans vs.",.*?(vs.|vs|versus).*?,"While ethics influences the methodology of testing, it should not influence the nature of the hypothesis tested. I.e. experimenting on humans vs. experimenting on lab-grown cells.",can religious faith and science co exist
"181        1                                              Even in these simulations based on unrealistic voting conditions of being the ""last voter"" with clairvoyance, who can make a difference with their decision, IRV voters see a 15% improvement in voting for their favorite candidate over FPTP (79% vs",.*?(vs.|vs|versus).*?,"Even in these simulations based on unrealistic voting conditions of being the ""last voter"" with clairvoyance, who can make a difference with their decision, IRV voters see a 15% improvement in voting for their favorite candidate over FPTP (79% vs 69% in these simulations\).",the us should adopt a better voting system for single winner elections
"182        1                                                                                                                                            The same ""fewer but more passionate"" principle applies to a scenario where 40% vote their candidate 9 while 60% vote their candidate 5 (averaging 3.6 vs",.*?(vs.|vs|versus).*?,"The same ""fewer but more passionate"" principle applies to a scenario where 40% vote their candidate 9 while 60% vote their candidate 5 (averaging 3.6 vs 3.0\)",the us should adopt a better voting system for single winner elections
